epoch,mask_method,group,count,sum
100,random_rescue_20,1,50,27
100,random_rescue_20,2,50,35
100,random_rescue_20,3,50,8
100,random_rescue_5,0,50,6
100,random_rescue_5,1,50,27
100,random_rescue_5,2,50,35
100,random_rescue_5,3,50,8
100,student,0,50,6
100,student,1,50,27
100,student,2,50,35
100,student,3,50,8
