epoch,mask_method,actual_swaps,full_teacher_correct,student_correct,correction_opportunity,kl,prediction_flip,gt_probability_drop,gt_probability,correct,kl_reduction_vs_student_mask,gt_probability_gain_vs_student_mask,foreground_selection_ratio,background_selection_ratio,foreground_missing_ratio,foreground_area_ratio,foreground_coverage_retained,foreground_patch_count
80,foreground_rescue_10,9.02,0.905,0.575,0.345,0.092246465,0.06,0.014109815,0.8552128,0.905,0.09609353,0.05619566,0.3187245,0.6812755,0.23602234,0.22895409,0.7169228,44.875
80,foreground_rescue_20,14.97,0.905,0.575,0.345,0.09516697,0.05,0.01059971,0.8587229,0.905,0.093173034,0.059705764,0.3794388,0.62056124,0.11329519,0.22895409,0.8200214,44.875
80,foreground_rescue_5,4.76,0.905,0.575,0.345,0.13052034,0.08,0.041742347,0.8275803,0.865,0.057819657,0.028563123,0.2752551,0.72474486,0.3474073,0.22895409,0.6256512,44.875
80,random,0.0,0.905,0.575,0.345,0.05032505,0.045,0.029194003,0.84012854,0.9,0.13801496,0.04111147,0.2310204,0.76897955,0.49313968,0.22895409,0.5061665,44.875
80,random_rescue_10,9.02,0.905,0.575,0.345,0.16356012,0.11,0.07847747,0.7908451,0.825,0.02477988,-0.008171995,0.22683674,0.7731633,0.48731297,0.22895409,0.51564,44.875
80,random_rescue_20,14.97,0.905,0.575,0.345,0.11859124,0.08,0.055968724,0.8133539,0.855,0.06974875,0.014336749,0.23290817,0.7670918,0.475906,0.22895409,0.52421534,44.875
80,random_rescue_5,4.76,0.905,0.575,0.345,0.1917191,0.1,0.06681647,0.8025061,0.845,-0.003379101,0.0034890026,0.22627552,0.7737245,0.48794967,0.22895409,0.51247483,44.875
80,student,0.0,0.905,0.575,0.345,0.18834,0.11,0.070305474,0.79901713,0.835,0.0,0.0,0.22668368,0.7733163,0.48532388,0.22895409,0.51535684,44.875
100,foreground_rescue_10,9.025,0.905,0.585,0.34,0.09714844,0.075,0.022314932,0.8470077,0.88,0.08988942,0.050892875,0.31887755,0.6811224,0.23493013,0.22895409,0.7155023,44.875
100,foreground_rescue_20,14.94,0.905,0.585,0.34,0.080845706,0.055,0.0018856882,0.8674369,0.91,0.10619215,0.07132211,0.3792347,0.6207653,0.113706924,0.22895409,0.81823486,44.875
100,foreground_rescue_5,4.785,0.905,0.585,0.34,0.12317597,0.085,0.04780166,0.8215209,0.86,0.06386188,0.025406146,0.27561224,0.72438776,0.3464452,0.22895409,0.62565553,44.875
100,random,0.0,0.905,0.585,0.34,0.05032505,0.045,0.029194003,0.84012854,0.9,0.1367128,0.044013802,0.2310204,0.76897955,0.49313968,0.22895409,0.5061665,44.875
100,random_rescue_10,9.025,0.905,0.585,0.34,0.15566546,0.065,0.060236093,0.80908656,0.85,0.0313724,0.012971712,0.22913265,0.7708673,0.48227993,0.22895409,0.51695174,44.875
100,random_rescue_20,14.94,0.905,0.585,0.34,0.121009156,0.065,0.04936302,0.8199596,0.87,0.06602869,0.023844786,0.23219387,0.7678061,0.47767317,0.22895409,0.52186465,44.875
100,random_rescue_5,4.785,0.905,0.585,0.34,0.18263048,0.115,0.070741385,0.79858124,0.83,0.004407365,0.002466419,0.22729592,0.77270406,0.48332205,0.22895409,0.51587915,44.875
100,student,0.0,0.905,0.585,0.34,0.18703786,0.105,0.07320781,0.7961148,0.84,0.0,0.0,0.22678572,0.7732143,0.48582008,0.22895409,0.51406085,44.875
