epoch,mask_method,group,x,y,spearman,n
10,foreground_rescue_20,1,background_selection_ratio,kl,-0.057585109129989875,50
10,foreground_rescue_20,1,foreground_missing_ratio,kl,-0.0021790009161251744,50
10,foreground_rescue_20,1,background_selection_ratio,gt_probability_drop,-0.12555284227673918,50
10,foreground_rescue_20,2,background_selection_ratio,kl,0.03220303738329477,50
10,foreground_rescue_20,2,foreground_missing_ratio,kl,0.2242090189548888,50
10,foreground_rescue_20,2,background_selection_ratio,gt_probability_drop,0.08851241374266178,50
10,foreground_rescue_20,3,background_selection_ratio,kl,0.23455639751081728,50
10,foreground_rescue_20,3,foreground_missing_ratio,kl,0.1269173345085676,50
10,foreground_rescue_20,3,background_selection_ratio,gt_probability_drop,0.040510355071013936,50
10,foreground_rescue_5,-1,background_selection_ratio,kl,0.23810166956133116,200
10,foreground_rescue_5,-1,foreground_missing_ratio,kl,0.21711348212806075,200
10,foreground_rescue_5,-1,background_selection_ratio,gt_probability_drop,0.08217560912983879,200
10,foreground_rescue_5,0,background_selection_ratio,kl,0.25772358101008674,50
10,foreground_rescue_5,0,foreground_missing_ratio,kl,0.2134537407272214,50
10,foreground_rescue_5,0,background_selection_ratio,gt_probability_drop,0.01748907223856666,50
10,foreground_rescue_5,1,background_selection_ratio,kl,0.15466729573619617,50
10,foreground_rescue_5,1,foreground_missing_ratio,kl,0.27386644904842483,50
10,foreground_rescue_5,1,background_selection_ratio,gt_probability_drop,-0.09221382443954748,50
10,foreground_rescue_5,2,background_selection_ratio,kl,0.4545849094757056,50
10,foreground_rescue_5,2,foreground_missing_ratio,kl,0.3529750760445472,50
10,foreground_rescue_5,2,background_selection_ratio,gt_probability_drop,0.30915260698340435,50
10,foreground_rescue_5,3,background_selection_ratio,kl,0.3208572099152422,50
10,foreground_rescue_5,3,foreground_missing_ratio,kl,0.29903341059881045,50
10,foreground_rescue_5,3,background_selection_ratio,gt_probability_drop,0.16677079598918923,50
10,random,-1,background_selection_ratio,kl,0.14990335214001663,200
10,random,-1,foreground_missing_ratio,kl,0.015855115286724616,200
10,random,-1,background_selection_ratio,gt_probability_drop,0.12903546335042104,200
10,random,0,background_selection_ratio,kl,0.15899266458340883,50
10,random,0,foreground_missing_ratio,kl,0.126590789615269,50
10,random,0,background_selection_ratio,gt_probability_drop,-0.06728831028318391,50
10,random,1,background_selection_ratio,kl,0.29347587716785206,50
10,random,1,foreground_missing_ratio,kl,-0.0014408530115563758,50
10,random,1,background_selection_ratio,gt_probability_drop,0.1690948001309528,50
10,random,2,background_selection_ratio,kl,0.17411997026893705,50
10,random,2,foreground_missing_ratio,kl,0.1378896332059452,50
10,random,2,background_selection_ratio,gt_probability_drop,0.37553779952566213,50
10,random,3,background_selection_ratio,kl,0.030514917520870512,50
10,random,3,foreground_missing_ratio,kl,-0.03885313650930964,50
10,random,3,background_selection_ratio,gt_probability_drop,0.06290397958239292,50
10,random_rescue_10,-1,background_selection_ratio,kl,0.27562357125314013,200
10,random_rescue_10,-1,foreground_missing_ratio,kl,0.22589062375580052,200
10,random_rescue_10,-1,background_selection_ratio,gt_probability_drop,0.16351280786265002,200
10,random_rescue_10,0,background_selection_ratio,kl,0.3647675206427057,50
10,random_rescue_10,0,foreground_missing_ratio,kl,0.24404533259026667,50
10,random_rescue_10,0,background_selection_ratio,gt_probability_drop,-0.05942544752206334,50
10,random_rescue_10,1,background_selection_ratio,kl,0.18521283185357382,50
10,random_rescue_10,1,foreground_missing_ratio,kl,0.3568480355413549,50
10,random_rescue_10,1,background_selection_ratio,gt_probability_drop,0.15056351899253936,50
10,random_rescue_10,2,background_selection_ratio,kl,0.43487473674446286,50
10,random_rescue_10,2,foreground_missing_ratio,kl,0.24245918086304874,50
10,random_rescue_10,2,background_selection_ratio,gt_probability_drop,0.4200232454033887,50
10,random_rescue_10,3,background_selection_ratio,kl,0.3078993489390738,50
10,random_rescue_10,3,foreground_missing_ratio,kl,0.3439083671482685,50
10,random_rescue_10,3,background_selection_ratio,gt_probability_drop,0.1996444748504762,50
10,random_rescue_20,-1,background_selection_ratio,kl,0.24010626925523598,200
10,random_rescue_20,-1,foreground_missing_ratio,kl,0.2795264767368404,200
10,random_rescue_20,-1,background_selection_ratio,gt_probability_drop,0.14721157441690816,200
10,random_rescue_20,0,background_selection_ratio,kl,0.19630294326729528,50
10,random_rescue_20,0,foreground_missing_ratio,kl,0.14170430237136156,50
10,random_rescue_20,0,background_selection_ratio,gt_probability_drop,-0.10947386770013014,50
